Capital gains report 2024

Date Sold,Date Acquired,Asset,Amount,Cost (EUR),Proceeds (EUR),Gain / loss,Notes,Wallet Name,Holding period
15/03/2024 10:00,01/01/2024 08:00,BTC,"0,00001000","0,50","0,55","0,05","",Kraken,Short term
15/03/2024 10:00,01/01/2024 09:01,BTC,"0,00001000","0,50","0,55","0,05","",Kraken,Short term
15/03/2024 10:00,01/01/2024 10:02,BTC,"0,00001000","0,50","0,55","0,05","",Kraken,Short term
15/03/2024 10:00,01/01/2024 11:03,BTC,"0,00001000","0,50","0,55","0,05","",Kraken,Short term
15/03/2024 10:00,01/01/2024 12:04,BTC,"0,00001000","0,50","0,55","0,05","",Kraken,Short term
15/03/2024 10:00,02/01/2024 13:05,BTC,"0,00001000","0,50","0,55","0,05","",Kraken,Short term
15/03/2024 10:00,02/01/2024 14:06,BTC,"0,00001000","0,50","0,55","0,05","",Kraken,Short term
15/03/2024 10:00,02/01/2024 15:07,BTC,"0,00001000","0,50","0,55","0,05","",Kraken,Short term
15/03/2024 10:00,02/01/2024 16:08,BTC,"0,00001000","0,50","0,55","0,05","",Kraken,Short term
15/03/2024 10:00,02/01/2024 17:09,BTC,"0,00001000","0,50","0,55","0,05","",Kraken,Short term
15/03/2024 10:00,03/01/2024 08:10,BTC,"0,00001000","0,50","0,55","0,05","",Kraken,Short term
15/03/2024 10:00,03/01/2024 09:11,BTC,"0,00001000","0,50","0,55","0,05","",Kraken,Short term
15/03/2024 10:00,03/01/2024 10:12,BTC,"0,00001000","0,50","0,55","0,05","",Kraken,Short term
15/03/2024 10:00,03/01/2024 11:13,BTC,"0,00001000","0,50","0,55","0,05","",Kraken,Short term
15/03/2024 10:00,03/01/2024 12:14,BTC,"0,00001000","0,50","0,55","0,05","",Kraken,Short term
15/03/2024 10:00,04/01/2024 13:15,BTC,"0,00001000","0,50","0,55","0,05","",Kraken,Short term
15/03/2024 10:00,04/01/2024 14:16,BTC,"0,00001000","0,50","0,55","0,05","",Kraken,Short term
15/03/2024 10:00,04/01/2024 15:17,BTC,"0,00001000","0,50","0,55","0,05","",Kraken,Short term
15/03/2024 10:00,04/01/2024 16:18,BTC,"0,00001000","0,50","0,55","0,05","",Kraken,Short term
15/03/2024 10:00,04/01/2024 17:19,BTC,"0,00001000","0,50","0,55","0,05","",Kraken,Short term
15/03/2024 10:00,05/01/2024 08:20,BTC,"0,00001000","0,50","0,55","0,05","",Kraken,Short term
15/03/2024 10:00,05/01/2024 09:21,BTC,"0,00001000","0,50","0,55","0,05","",Kraken,Short term
15/03/2024 10:00,05/01/2024 10:22,BTC,"0,00001000","0,50","0,55","0,05","",Kraken,Short term
15/03/2024 10:00,05/01/2024 11:23,BTC,"0,00001000","0,50","0,55","0,05","",Kraken,Short term
15/03/2024 10:00,05/01/2024 12:24,BTC,"0,00001000","0,50","0,55","0,05","",Kraken,Short term
15/03/2024 10:00,06/01/2024 13:25,BTC,"0,00001000","0,50","0,55","0,05","",Kraken,Short term
15/03/2024 10:00,06/01/2024 14:26,BTC,"0,00001000","0,50","0,55","0,05","",Kraken,Short term
15/03/2024 10:00,06/01/2024 15:27,BTC,"0,00001000","0,50","0,55","0,05","",Kraken,Short term
